t_ns,nonce,hash_hex,difficulty_bits,attempts_since_prev,backend,notes_json
125490508881140,183992,0000311d7547d99e968e49e4fdf15fa0345e552ae92f6119664779b54c1c409e,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 7}}"
125491058162598,430115,00007f377efdb21a12603e9c2dbd50a633981bdf81d830af4c340edc2a689ad2,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 7}}"
125491371865899,507739,00003df816b3fee81ae7f77bfdfeed1129591d149f8dade48c09d3e4c21e26c5,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 7}}"
125491492081844,616009,000074d3d2362d58113d039c8bd7706e62966cee111c4232dd57f82238d9203e,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 7}}"
125491531189822,629456,00005c2ddfebffaf15bf8805093ff4e5429088e11656591495a51e87770d42d6,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 7}}"
125492082717161,874871,0000714e7779a3d3e692584d12f1a1db73ac1db83333269ba9f751fc3e7d03bd,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 7}}"
125492168159883,882116,00001a4046b3c07f9733b8887c57802f0dfe1c62a1c85affe1e383160b81230a,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 7}}"
125492515144462,913919,000040c873280beb24117062fa61b996ff973efe31a2caac653193cce9a363ac,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 7}}"
125492631258387,1180330,00007249b2e0e7b14d91d78e466c76610791d7538b76f742a596e9e965641e54,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 7}}"
125492745585260,1341118,00005e66637686fc73843e1be70041a10023191df5e097fc8eb472a51f84106c,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 7}}"
125493404310865,1355509,000060ea8227d47ada6ed7a580a692b73f10cbfd35ed58d5af53abad1474ef99,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 7}}"
125494035102569,1370852,00003ee7a8463c6ec529b16a65030cbebd68c0c53a0c555822d910f329778e49,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 7}}"
125494116863786,1417197,0000443b9f2b78fb268bb7bde93141df6385804a8cb2a6c8de88630ca9d6087d,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 7}}"
125494752527548,1538880,0000305ba454fe7bc32f677d11f0ebf764bd1ae355fa5934d91e76338012b649,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 7}}"
125494974636661,1549215,00002589924538e7e818cc944b163e213b4f87acee15201c50d3fed713fcf8c9,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 7}}"
125495349633775,1600877,000070b4e3f040b698c732bf9c09c84dc417b62fc5e1a95b9a0014ba90370f01,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 7}}"
125495672196081,1686864,000035434d9d1d38ee55510e5ec58433766f9b795df23584ddb89605f0f9e974,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 7}}"
125495706732014,1732146,00007a6413504df4d132ebfd65b421043eed5fd5edc83c9d8fe3b544eecdbde1,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 7}}"
125495771953549,1966079,000027cffca64b84011072829449d09d147a93054e17aad6519ba64f24daf77f,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 7}}"
125496090815182,1978672,00003416e198a947b2ceecfa35e6f953ed3503e1414e573af48c1d9387863777,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 7}}"
125496223068384,2021626,0000005370f5005223d35d5c4f9b2fec0688ad701dc7a1a92dfe525623cef776,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 7}}"
125496369165091,2158197,00002f31b8972b32e3f1030a1ec66d15ea3f676682109f56203f3f7108fd1b4f,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 7}}"
125496652427671,2507337,000026ceb7a8bed12edfc4f736e21e9a0116304ebe265f0efa003283c230a685,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 7}}"
125497031228112,2650017,000017531c48ed2828853ea9ff5cb41d8c46df9c1262e83decc6a2a85940e77f,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 7}}"
125497918041150,2831713,000027229adecc59f23d0bd7875b920433288d5fc141cc35a0b17ddf01380633,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 7}}"
125498318491510,2856655,00001dc1e36691017f7bcae724d941106a0c840442923cd45411d34d73074631,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 7}}"
125498318817691,2870127,0000595d4e91067451cfacc5db5b3cb7f8c581ce30d54f1751d6d19d43aeb17f,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 7}}"
125498442818869,2902553,0000559019c7f88343572286ff407e06b659c80bdda6c5290fe0f9326f71cb9c,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 7}}"
125498601567699,2971792,00003ed0c58f5c5ffc3f83e86aea309d79120d1d487dfa9383c840d780572c9f,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 7}}"
125498786430114,3302889,00002ae8924f21a65cde95c9368b62e0bb49e9e3dc3bd7e768e91c4d6b5a777d,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 7}}"
125498951653387,3317788,000042c66ef657632f1d3c46092d98f49d4cee15dde7f46cf7109f3445fb1897,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 7}}"
125499483920083,3381169,00005e5aa338a4dfda5dc7a645e8bd2130bcb832806793a5f2d38fa0f23baa12,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 7}}"
125499685746750,3493001,00002c5fd76dba7c4b8c45994ab4291ea8dea52c6456b3a7f5f02b90d9fcc487,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 7}}"
