t_ns,nonce,hash_hex,difficulty_bits,attempts_since_prev,backend,notes_json
125647626024691,32193,00000807c61c1b44f2ed08a364c6985337bc36f62a45e44707b395163d65cbb8,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 8}}"
125648040377576,72881,00007382d83d7e82ec9209a9079476d6ad6f205bedc40e6a42d943ac633e5c7d,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 8}}"
125648043548302,90471,000015f4ddf81d8a505151975f91c56b5e6d99187103186e03532b9462cf3e80,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 8}}"
125648583724436,309227,00006a65ef3a666fde6d0fd6520c22ab9656933a4d56fd8bd115cbff6f758db3,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 8}}"
125649723031986,621167,0000681594b8d889a9b5ed715ffed43ed9c09d1da729d32e7e8a4304407646c6,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 8}}"
125650452230781,788802,000029b73587e42a56c48c18ed989354253234cab14e620835fb016842e0ad87,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 8}}"
125650702245450,1025368,00007c2de09a5ae9e0f6fc4c88d6aaac34d9e6038568761260bdb9632dabea59,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 8}}"
125651273097539,1037230,00003c6d5a42c453853c759cdda5b023b773e247ffd6f0c5563a4ce383ec0d89,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 8}}"
125652847742690,1047342,000064dc620d6393e946815f504eea5fc095f0bb41c8b87b8ada4dd0a9e451a8,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 8}}"
125652949721919,1160000,00006a143ccfc42e908b4d3a00931b7caa6cdab174a67557ab6fb995f869e55f,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 8}}"
125654119392715,1242648,00001ab5262ce752723f699c369ee0b719992bd2b2df07be86dc521613cd2b05,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 8}}"
125654446426632,1276869,00004e14149634bbe5bb8b2bf6123597c983d1a1eff49ad1949d825a09c13f78,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 8}}"
125654464854700,1462934,00001b984af915cdd6f4099e365bbbe938a6d02bebc1e90c1b88828f5c6ab340,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 8}}"
125654598273863,1792379,00004a9e20ffefe30210d558a49399f14a1a1cb6de6a631f469306213bb718ff,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 8}}"
125654629040567,1900114,0000444aaacdeba032f3ee89da5af2f6b1bc66925b8d0fc7d2016e87df22a303,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 8}}"
125656648362183,2017717,0000085e7549fa008a8d5cdd695ee907ddbc9e65e5edd19c6ba4cc235c5a4513,17,0,cpu,"{""domain"": ""log_delta"", ""surrogate"": {""kind"": ""shuffle"", ""seed"": 8}}"
