t_ns,nonce,hash_hex,difficulty_bits,attempts_since_prev,backend,notes_json
125647626024691,32193,00000807c61c1b44f2ed08a364c6985337bc36f62a45e44707b395163d65cbb8,17,32194,cpu,"{""t_true_ns"": 125647626024691}"
125647953058613,72881,00007382d83d7e82ec9209a9079476d6ad6f205bedc40e6a42d943ac633e5c7d,17,40688,cpu,"{""t_true_ns"": 125647953058613}"
125648003382908,90471,000015f4ddf81d8a505151975f91c56b5e6d99187103186e03532b9462cf3e80,17,17590,cpu,"{""t_true_ns"": 125648003382908}"
125649296630662,309227,00006a65ef3a666fde6d0fd6520c22ab9656933a4d56fd8bd115cbff6f758db3,17,218756,cpu,"{""t_true_ns"": 125649296630662}"
125651315952295,621167,0000681594b8d889a9b5ed715ffed43ed9c09d1da729d32e7e8a4304407646c6,17,311940,cpu,"{""t_true_ns"": 125651315952295}"
125652229692286,788802,000029b73587e42a56c48c18ed989354253234cab14e620835fb016842e0ad87,17,167635,cpu,"{""t_true_ns"": 125652229692286}"
125653546350792,1025368,00007c2de09a5ae9e0f6fc4c88d6aaac34d9e6038568761260bdb9632dabea59,17,236566,cpu,"{""t_true_ns"": 125653546350792}"
125653789918000,1037230,00003c6d5a42c453853c759cdda5b023b773e247ffd6f0c5563a4ce383ec0d89,17,11862,cpu,"{""t_true_ns"": 125653789918000}"
125653820684701,1047342,000064dc620d6393e946815f504eea5fc095f0bb41c8b87b8ada4dd0a9e451a8,17,10112,cpu,"{""t_true_ns"": 125653820684701}"
125654360860820,1160000,00006a143ccfc42e908b4d3a00931b7caa6cdab174a67557ab6fb995f869e55f,17,112658,cpu,"{""t_true_ns"": 125654360860820}"
125655032789199,1242648,00001ab5262ce752723f699c369ee0b719992bd2b2df07be86dc521613cd2b05,17,82648,cpu,"{""t_true_ns"": 125655032789199}"
125655134768424,1276869,00004e14149634bbe5bb8b2bf6123597c983d1a1eff49ad1949d825a09c13f78,17,34221,cpu,"{""t_true_ns"": 125655134768424}"
125656304439218,1462934,00001b984af915cdd6f4099e365bbbe938a6d02bebc1e90c1b88828f5c6ab340,17,186065,cpu,"{""t_true_ns"": 125656304439218}"
125658095200912,1792379,00004a9e20ffefe30210d558a49399f14a1a1cb6de6a631f469306213bb718ff,17,329445,cpu,"{""t_true_ns"": 125658095200912}"
125658824399704,1900114,0000444aaacdeba032f3ee89da5af2f6b1bc66925b8d0fc7d2016e87df22a303,17,107735,cpu,"{""t_true_ns"": 125658824399704}"
125659395251801,2017717,0000085e7549fa008a8d5cdd695ee907ddbc9e65e5edd19c6ba4cc235c5a4513,17,117603,cpu,"{""t_true_ns"": 125659395251801}"
125659809604673,2088490,00003843fa122a2cc8a5c83d273fe56278e668553643c7ca16be4c17745ee92a,17,70773,cpu,"{""t_true_ns"": 125659809604673}"
125660059619354,2102334,00000abb40140818326eb9d54a2eca8cd38a1b77b1351d5296c766f934613e4e,17,13844,cpu,"{""t_true_ns"": 125660059619354}"
125660193038520,2148662,00001ea79325f2a577ec5c59cbf17a36a91cf8cbaffdf524f43fc28973d09761,17,46328,cpu,"{""t_true_ns"": 125660193038520}"
125661398089059,2341832,00002aee3abfd8c7bc09d1c230488d8dbc865fbb7be1e6e1d68b5b2a30b94633,17,193170,cpu,"{""t_true_ns"": 125661398089059}"
125661425954758,2350512,00005908cceeb23390087d8d72b543bfd37f9b031e333e888ef22c167451df14,17,8680,cpu,"{""t_true_ns"": 125661425954758}"
125661717200969,2378710,000056fe96dfdae53edfa7272bbce82cd76b419b8e7c0e8c5d174c570c1bd0d5,17,28198,cpu,"{""t_true_ns"": 125661717200969}"
125661720371695,2379843,000049365c70e49cd4aa1c969fcbbb1a04177d780ac48e2f42869c80a4f324ae,17,1133,cpu,"{""t_true_ns"": 125661720371695}"
125661859912238,2427224,00007db270ec0e0bff5ce565be567efeae766ed674c02bb302dc2169e85a83bc,17,47381,cpu,"{""t_true_ns"": 125661859912238}"
125661878340308,2433471,000021450d00c33532199cc64f5ce4dec0d892b9c7cd8e4bf7dca0f55c0b204d,17,6247,cpu,"{""t_true_ns"": 125661878340308}"
125663452985432,2688698,0000667905ef672303acf32d03a146aa61b23f59685bedf8d4c36b82916132d6,17,255227,cpu,"{""t_true_ns"": 125663452985432}"
125663529356922,2714782,000025715c5e402d3deed4a877e5c15ee0f03b00bd9e94b0c361479ebca45aac,17,26084,cpu,"{""t_true_ns"": 125663529356922}"
125664668664467,2889927,000070f919b86fd41833d2a828db7c1eafe02812ed369ffe30b59ab8bc44abdb,17,175145,cpu,"{""t_true_ns"": 125664668664467}"
125667248112314,3347813,0000245a59c4c817c099dda55809662627599962b2e7334407500ece854d12f3,17,457886,cpu,"{""t_true_ns"": 125667248112314}"
